can_bind_to_reverse_edge,category,country_isocode,edge_type,ends_with_crosswalk,ends_with_railroad_crossing,ends_with_toll_post,ends_with_traffic_light,geometry,has_masstransit_lane,is_in_poor_condition,is_paved,is_residential,is_restricted_for_trucks,is_toll,length,persistent_id,reverse_id,segments,speed_limit,struct_type,timezone,toponym,traffic_side
False,3,CD,NamedRoad,False,False,False,False,[[15.352717;-4.382694;];[15.352853;-4.383144;];[15.352953;-4.383406;];[15.353126;-4.383739;];[15.353242;-4.383897;];],False,False,True,False,False,False,146.3000030517578,7823179214164718408,,4,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352661;-4.382339;];[15.352717;-4.382694;];],False,False,True,False,False,False,39.70000076293945,18394085582372647230,,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352601;-4.381799;];[15.352630;-4.382133;];[15.352661;-4.382339;];],False,False,True,False,False,False,60.09999847412109,11612760148096368926,,2,,Road,Africa/Kinshasa,Poids Lourd,False
False,2,CD,NamedRoad,False,False,False,False,[[15.347741;-4.376426;];[15.347670;-4.376250;];[15.347537;-4.375942;];[15.347327;-4.375540;];[15.346976;-4.374841;];[15.346415;-4.373764;];],False,False,True,False,False,False,329.20001220703125,5924644812396770912,,5,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.347903;-4.376944;];[15.347741;-4.376426;];],False,False,True,False,False,False,60.0,13617569950093686421,,1,,Road,Africa/Kinshasa,,False
False,3,CD,Junction,False,False,False,False,[[15.347155;-4.377428;];[15.347331;-4.377489;];[15.347414;-4.377504;];[15.347497;-4.377504;];[15.347584;-4.377491;];[15.347644;-4.377464;];[15.347725;-4.377417;];[15.347774;-4.377371;];[15.347841;-4.377281;];[15.347870;-4.377199;];[15.347886;-4.377112;];[15.347903;-4.376944;];],False,False,True,False,False,False,124.5999984741211,6093872037640420498,,11,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.347155;-4.377428;];[15.347541;-4.377767;];],False,False,True,False,False,False,56.900001525878906,978390600663735933,,1,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.346965;-4.377264;];[15.347155;-4.377428;];],False,False,True,False,False,False,27.899999618530277,11776485805329352579,,1,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.346614;-4.376962;];[15.346965;-4.377264;];],False,False,True,False,False,False,51.29999923706055,13799625383085453185,,1,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.344920;-4.375456;];[15.345569;-4.376045;];[15.346182;-4.376591;];[15.346614;-4.376962;];],False,False,True,False,False,False,251.0,2558481979417535631,,3,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.344852;-4.375395;];[15.344920;-4.375456;];],False,False,True,False,False,False,10.199999809265137,4198215160968041012,,1,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.344578;-4.375447;];[15.344724;-4.375425;];[15.344852;-4.375395;];],False,False,True,False,False,False,31.0,16189533494885761259,,2,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.343939;-4.375647;];[15.344141;-4.375542;];[15.344359;-4.375477;];[15.344578;-4.375447;];],False,False,True,False,False,False,75.0999984741211,15724501564596412583,,3,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.343802;-4.375732;];[15.343939;-4.375647;];],False,False,True,False,False,False,17.899999618530273,3493021968283055489,,1,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.343442;-4.376226;];[15.343551;-4.376053;];[15.343624;-4.375937;];[15.343729;-4.375806;];[15.343802;-4.375732;];],False,False,True,False,False,False,67.9000015258789,12773760749224159354,,4,,Road,Africa/Kinshasa,Avenue By Pass,False
